Population in GA by County ,,,,,
name,state,county,city,most_current_pop_year,population
Georgia,Georgia,,,2023,"11,029,227"
Appling County,Georgia,,,2023,"18,457"
Atkinson County,Georgia,,,2023,"8,293"
Bacon County,Georgia,,,2023,"11,124"
Baker County,Georgia,,,2023,"2,743"
Baldwin County,Georgia,,,2023,"43,396"
Banks County,Georgia,,,2023,"19,789"
Barrow County,Georgia,,,2023,"92,792"
Bartow County,Georgia,,,2023,"115,041"
Ben Hill County,Georgia,,,2023,"17,128"
Berrien County,Georgia,,,2023,"18,570"
Bibb County,Georgia,,,2023,"156,512"
Bleckley County,Georgia,,,2023,"12,465"
Brantley County,Georgia,,,2023,"18,401"
Brooks County,Georgia,,,2023,"16,245"
Bryan County,Georgia,,,2023,"49,739"
Bulloch County,Georgia,,,2023,"84,327"
Burke County,Georgia,,,2023,"24,438"
Butts County,Georgia,,,2023,"26,887"
Calhoun County,Georgia,,,2023,"5,457"
Camden County,Georgia,,,2023,"58,118"
Candler County,Georgia,,,2023,"11,059"
Carroll County,Georgia,,,2023,"127,098"
Catoosa County,Georgia,,,2023,"68,910"
Charlton County,Georgia,,,2023,"12,934"
Chatham County,Georgia,,,2023,"303,655"
Chattahoochee County,Georgia,,,2023,"8,661"
Chattooga County,Georgia,,,2023,"25,222"
Cherokee County,Georgia,,,2023,"286,602"
Clarke County,Georgia,,,2023,"129,933"
Clay County,Georgia,,,2023,"2,853"
Clayton County,Georgia,,,2023,"298,300"
Clinch County,Georgia,,,2023,"6,746"
Cobb County,Georgia,,,2023,"776,743"
Coffee County,Georgia,,,2023,"43,317"
Colquitt County,Georgia,,,2023,"46,167"
Columbia County,Georgia,,,2023,"165,162"
Cook County,Georgia,,,2023,"17,714"
Coweta County,Georgia,,,2023,"155,892"
Crawford County,Georgia,,,2023,"12,277"
Crisp County,Georgia,,,2023,"19,631"
Dade County,Georgia,,,2023,"16,165"
Dawson County,Georgia,,,2023,"31,732"
DeKalb County,Georgia,,,2023,"762,992"
Decatur County,Georgia,,,2023,"29,087"
Dodge County,Georgia,,,2023,"19,776"
Dooly County,Georgia,,,2023,"10,981"
Dougherty County,Georgia,,,2023,"82,645"
Douglas County,Georgia,,,2023,"149,160"
Early County,Georgia,,,2023,"10,563"
Echols County,Georgia,,,2023,"3,709"
Effingham County,Georgia,,,2023,"71,541"
Elbert County,Georgia,,,2023,"20,013"
Emanuel County,Georgia,,,2023,"23,119"
Evans County,Georgia,,,2023,"10,754"
Fannin County,Georgia,,,2023,"25,955"
Fayette County,Georgia,,,2023,"123,351"
Floyd County,Georgia,,,2023,"100,113"
Forsyth County,Georgia,,,2023,"272,887"
Franklin County,Georgia,,,2023,"24,782"
Fulton County,Georgia,,,2023,"1,079,105"
Gilmer County,Georgia,,,2023,"32,860"
Glascock County,Georgia,,,2023,"2,954"
Glynn County,Georgia,,,2023,"86,172"
Gordon County,Georgia,,,2023,"59,757"
Grady County,Georgia,,,2023,"26,066"
Greene County,Georgia,,,2023,"20,722"
Gwinnett County,Georgia,,,2023,"983,526"
Habersham County,Georgia,,,2023,"48,757"
Hall County,Georgia,,,2023,"217,267"
Hancock County,Georgia,,,2023,"8,676"
Haralson County,Georgia,,,2023,"32,038"
Harris County,Georgia,,,2023,"36,654"
Hart County,Georgia,,,2023,"27,556"
Heard County,Georgia,,,2023,"12,034"
Henry County,Georgia,,,2023,"254,613"
Houston County,Georgia,,,2023,"171,974"
Irwin County,Georgia,,,2023,"9,120"
Jackson County,Georgia,,,2023,"88,615"
Jasper County,Georgia,,,2023,"16,455"
Jeff Davis County,Georgia,,,2023,"14,906"
Jefferson County,Georgia,,,2023,"15,183"
Jenkins County,Georgia,,,2023,"8,627"
Johnson County,Georgia,,,2023,"9,282"
Jones County,Georgia,,,2023,"28,969"
Lamar County,Georgia,,,2023,"20,401"
Lanier County,Georgia,,,2023,"10,452"
Laurens County,Georgia,,,2023,"49,941"
Lee County,Georgia,,,2023,"33,872"
Liberty County,Georgia,,,2023,"69,210"
Lincoln County,Georgia,,,2023,"7,879"
Long County,Georgia,,,2023,"19,594"
Lowndes County,Georgia,,,2023,"120,712"
Lumpkin County,Georgia,,,2023,"35,258"
Macon County,Georgia,,,2023,"11,817"
Madison County,Georgia,,,2023,"32,191"
Marion County,Georgia,,,2023,"7,440"
McDuffie County,Georgia,,,2023,"21,799"
McIntosh County,Georgia,,,2023,"11,501"
Meriwether County,Georgia,,,2023,"20,931"
Miller County,Georgia,,,2023,"5,747"
Mitchell County,Georgia,,,2023,"21,114"
Monroe County,Georgia,,,2023,"30,625"
Montgomery County,Georgia,,,2023,"8,761"
Morgan County,Georgia,,,2023,"21,460"
Murray County,Georgia,,,2023,"41,035"
Muscogee County,Georgia,,,2023,"201,877"
Newton County,Georgia,,,2023,"120,135"
Oconee County,Georgia,,,2023,"44,182"
Oglethorpe County,Georgia,,,2023,"15,754"
Paulding County,Georgia,,,2023,"183,164"
Peach County,Georgia,,,2023,"28,805"
Pickens County,Georgia,,,2023,"35,969"
Pierce County,Georgia,,,2023,"20,425"
Pike County,Georgia,,,2023,"20,461"
Polk County,Georgia,,,2023,"44,223"
Pulaski County,Georgia,,,2023,"10,095"
Putnam County,Georgia,,,2023,"23,129"
Quitman County,Georgia,,,2023,"2,280"
Rabun County,Georgia,,,2023,"17,442"
Randolph County,Georgia,,,2023,"6,078"
Richmond County,Georgia,,,2023,"205,414"
Rockdale County,Georgia,,,2023,"95,987"
Schley County,Georgia,,,2023,"4,526"
Screven County,Georgia,,,2023,"14,174"
Seminole County,Georgia,,,2023,"9,092"
Spalding County,Georgia,,,2023,"69,946"
Stephens County,Georgia,,,2023,"27,228"
Stewart County,Georgia,,,2023,"4,674"
Sumter County,Georgia,,,2023,"28,890"
Talbot County,Georgia,,,2023,"5,718"
Taliaferro County,Georgia,,,2023,"1,609"
Tattnall County,Georgia,,,2023,"24,296"
Taylor County,Georgia,,,2023,"7,758"
Telfair County,Georgia,,,2023,"10,920"
Terrell County,Georgia,,,2023,"8,718"
Thomas County,Georgia,,,2023,"45,649"
Tift County,Georgia,,,2023,"41,554"
Toombs County,Georgia,,,2023,"27,040"
Towns County,Georgia,,,2023,"13,035"
Treutlen County,Georgia,,,2023,"6,341"
Troup County,Georgia,,,2023,"70,742"
Turner County,Georgia,,,2023,"8,909"
Twiggs County,Georgia,,,2023,"7,691"
Union County,Georgia,,,2023,"27,124"
Upson County,Georgia,,,2023,"28,263"
Walker County,Georgia,,,2023,"69,489"
Walton County,Georgia,,,2023,"106,702"
Ware County,Georgia,,,2023,"36,243"
Warren County,Georgia,,,2023,"5,106"
Washington County,Georgia,,,2023,"19,820"
Wayne County,Georgia,,,2023,"31,373"
